WarNum,WarName,V5RegionNum,WarType,CcodeA,SideA,SideB,Intnl,StartMo1,StartDy1,StartYr1,EndMo1,EndDy1,EndYr1,StartMo2,StartDy2,StartYr2,EndMo2,EndDy2,EndYr2,StartMo3,StartDy3,StartYr3,EndMo3,EndDy3,EndYr3,StartMo4,StartDy4,StartYr4,EndMo4,EndDy4,EndYr4,WDuratDays,WDuratMo,TotNatMonWar,TransFrom,Initiator,Outcome,TransTo,DeathsSideA,DeathsSideB,TotalBDeaths,Version
893,Seventh Iraqi Kurds War of 1996,5,5,645,Iraq,PUK and INC,0,8,31,1996,10,23,1996,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,54,1.8,1.8,-8,Iraq and KDP,6,-8,-9,-9,1000,5.1
896,Third Rwanda War of 1997-1998,4,4,517,Rwanda,ALiR,0,3,17,1997,10,30,1998,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,584,19.47,19.47,-8,ALiR,1,-8,300,3000,3300,5.1
897.5,Second Iraqi Kurds Internecine War of 1997,5,7,-8,PUK,KDP,0,10,13,1997,11,25,1997,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,43,1.43,1.43,-8,PUK,6,-8,-9,-9,1200,5.1
900,Kosovo Independence War of 1998-1999,3,5,345,Yugoslavia,Kosovo,0,2,28,1998,3,23,1999,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,384,12.8,12.8,-8,Yugoslavia,4,221,400,800,1200,5.1
906,Chad-Togoimi Revolt of 1998-2000,4,4,483,Chad,MDD & MDJT,0,10,16,1998,12,29,2000,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,794,26.47,26.47,-8,MDJT,7,-8,-9,-9,1800,5.1
910,Maluku War of 1999-2002,6,7,-8,Laskar Jihad,Christian militia,0,1,19,1999,2,12,2002,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1104,36.8,36.8,-8,Christian militia,3,-8,3000,2000,5000,5.1
912,Second Aceh War of 1999-2004,6,5,850,Indonesia,GAM,0,5,31,1999,12,9,2002,5,19,2003,12,26,2004,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1848,61.6,61.6,-8,GAM,3,-8,-9,-9,5500,5.1
913,Oromo Liberation War of 1999,4,5,530,Ethiopia,OLF,0,5,30,1999,8,18,1999,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,79,2.63,2.63,-8,OLF,7,-8,200,800,1000,5.1
915,Second Chechen War of 1999-2003,3,5,365,Russia,Chechen Rebels,0,8,7,1999,10,3,2003,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1497,49.9,49.9,-8,Cechnya,1,-8,5000,3000,8000,5.1
916,Second Philippine-Moro War of 2000-2001,6,5,840,Philippines,MILF & ASG,0,2,16,2000,6,22,2001,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,487,16.23,16.23,-8,Phillippines,3,-8,500,1500,2000,5.1
917,Guinean War of 2000-2001,4,4,438,Guinea,RDFG,0,9,2,2000,5,8,2001,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,247,8.23,8.23,-8,RDFG,6,-8,-9,-9,1000,5.1
920,Fourth Rwanda War of 2001,4,4,517,Rwanda,ALiR,0,5,21,2001,9,4,2001,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,104,3.47,3.47,-8,ALIR,1,-8,-9,-9,1000,5.1
921,Nepal Maoist Insurgency of 2001-2006,6,4,790,Nepal,MPLA,0,11,23,2001,1,29,2003,8,27,2003,4,27,2006,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1388,46.27,46.27,-8,MPLA,3,-8,2000,4000,6000,5.1
922,Liberia-LURD War of 2002-2003,4,4,450,Liberia,LURD and MODEL,0,5,-9,2002,8,4,2003,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,440,14.67,14.67,-8,LURD,2,-8,-9,-9,3000,5.1
926,Third Philippine-Moro War of 2003,6,5,840,Philippines,MILF & ASG,0,2,11,2003,7,19,2003,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,159,5.3,5.3,-8,Phillippines,6,-8,400,600,1000,5.1
927,Darfur Rebellion of 2003-2006,5,5,625,Sudan,SLA & JEM,0,2,26,2003,10,14,2006,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1309,43.63,43.63,-8,SLA,7,-8,-9,-9,10000,5.1
933,Second Nigeria Christian - Muslim War of 2004,4,7,-8,Christian Tarok,Muslim Fulani,0,3,-9,2004,9,16,2004,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,182,6.07,6.07,-8,Muslim Fulani,6,-8,-9,-9,1650,5.1
935,First Al-Houthi Rebellion of 2004-2005,5,4,679,Yemen,Houthi Rebels,0,6,20,2004,4,8,2005,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,289,9.63,9.63,-8,Yemen,1,-8,300,700,1000,5.1
936,Second Philippine - NPA War of 2005-2006,6,4,840,Philippines,NPA,0,1,1,2005,12,31,2006,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,721,24.03,24.03,-8,Phillippines,7,-8,672,2655,3327,5.1
940,Third Sri Lanka Tamil War of 2006-2009,6,5,780,Sri Lanka,LTTE,0,7,21,2006,5,17,2009,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,1017,33.9,33.9,-8,Sri Lanka,1,-8,5750,14250,20000,5.1
941,Second Al-Houthi Rebellion of 2007-2008,5,4,679,Yemen,Houthi Rebels,0,1,29,2007,7,16,2008,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,528,17.6,17.6,-8,Houthi Rebels,6,-8,1850,1150,3000,5.1
980,Kachin Rebellion of 2011-2013,6,5,775,Myanmar,KIA,0,6,9,2011,2,1,2013,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,593,19.77,19.77,-8,Myanmar,6,-8,850,850,1700,5.1
991.5,ISIS-al Nusra Front War of 2014,5,7,-8,Islamic State,Jabhat al-Nusra,0,1,-9,2014,6,4,2014,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,140,4.67,4.67,-8,Islamic State,4,485,-9,-9,5000,5.1
